Relative Path, Short Name of Source, Date Modified
common\buildings\00_nomad_buildings.txt, SW, 2026.03.15
common\buildings\zz_00_castle_buildings.txt, SW, 2026.02.18
common\buildings\zz_00_city_buildings.txt, SW, 2026.02.18
common\buildings\zz_00_temple_buildings.txt, SW, 2026.03.15
common\buildings\zz_00_tribal_buildings.txt, SW, 2026.03.15
common\buildings\zz_cow3_background_graphics_buildings.txt, SW, 2026.03.23
common\character_interactions\09_mpo_interactions.txt, CK3, 2026.01.01
common\coat_of_arms\template_lists\coa_templates.txt, CK3, 2025.11.12
common\coat_of_arms\template_lists\color_lists.txt, CK3, 2025.11.14
common\coat_of_arms\template_lists\colored_emblem_lists.txt, CK3, 2025.12.12
common\decisions\dlc_decisions\mpo\mpo_decisions.txt, CK3, 2025.12.12
common\decisions\dlc_decisions\tgp\tgp_steppe_decisions.txt, CK3, 2025.12.12
common\genes\03_genes_special_accessories_hairstyles.txt, EPE + CFP, 2026.03.21
common\genes\04_genes_special_accessories_beards.txt, EPE + CFP, 2026.02.05
common\genes\06_genes_special_accessories_headgear.txt, EPE + CFP, 2026.03.21
common\on_action\game_start.txt, SW, 2026.03.19
common\schemes\scheme_types\learn_language_scheme.txt, CE, 2026.03.15
common\script_values\00_culture_values_CCU_overwrite.txt, CE, 2026.03.15
common\script_values\01_starting_values_CCU_overwrite.txt.txt, CE, 2026.03.15
common\scripted_effects\ccu_scripted_effects.txt, CE, 2026.01.22
common\scripted_effects\yb_scripted_effects.txt(00_decisions_effects.txt)\found_cadet_house_decision_effect, CK3, 2026.01.01
common\scripted_effects\yb_scripted_effects.txt(10_dlc_tgp_scripted_effects.txt)\nomad_to_steppe_admin_new_capital_effect, CK3, 2025.12.12
common\scripted_modifiers\yb_scripted_modifiers.txt(00_elective_successions_scripted_modifiers.txt)\elector_voting_pattern_confederation_modifier, CK3, 2026.01.01
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_ugro_permian_clothing_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_ugro_permian_clothing_spouse_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_emishi_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_emishi_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_nivkh_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_nivkh_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_steppe_clothing_trigger, EPE, 2026.03.19
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_steppe_clothing_spouse_trigger, EPE, 2026.03.19
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_eastern_turk_clothing_trigger, EPE, 2026.02.04
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_eastern_turk_clothing_spouse_trigger, EPE, 2026.02.04
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_western_turk_clothing_trigger, EPE, 2025.12.05
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_western_turk_clothing_spouse_trigger, EPE, 2025.12.05
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_seljuk_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_seljuk_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_eastern_turk_muslim_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_eastern_turk_muslim_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_gokalpbags_clothing_trigger, EPE, 2025.12.15
